Disposition Quarter,Successful ,Not Successful,Total Cases
2017 Q1,99,28,127
2017 Q2,87,28,115
2017 Q3,102,25,127
2017 Q4,82,20,102
2018 Q1,71,18,89
2018 Q2,87,18,105
2018 Q3,59,15,74
2018 Q4,77,18,95
2019 Q1,77,18,95
2019 Q2,86,11,97
2019 Q3,75,14,89
2019 Q4,64,14,78
2020 Q1,76,8,84
2020 Q2,42,14,56