Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of defendants detained pretrial
2017 Q1,1766,280,2046,13.68523949
2017 Q2,1755,377,2132,17.68292683
2017 Q3,1595,358,1953,18.33077317
2017 Q4,1639,494,2133,23.15986873
2018 Q1,1755,557,2312,24.0916955
2018 Q2,1765,573,2338,24.5081266
2018 Q3,1606,562,2168,25.92250923
2018 Q4,1730,548,2278,24.05618964
2019 Q1,1741,641,2382,26.91015953
2019 Q2,1615,648,2263,28.6345559
2019 Q3,1591,636,2227,28.55859901
2019 Q4,1515,598,2113,28.30099385
2020 Q1,1546,478,2024,23.61660079
2020 Q2,544,185,729,25.37722908
2020 Q3,1229,354,1583,22.36260265
2020 Q4,992,392,1384,28.32369942
2021 Q1,1168,447,1615,27.67801858
2021 Q2,1181,471,1652,28.51089588
2021 Q3,1180,609,1789,34.04136389
2021 Q4,1063,542,1605,33.7694704
2022 Q1,1139,531,1670,31.79640719
2022 Q2,1128,604,1732,34.87297921
2022 Q3,1037,400,1437,27.83576896