Filing Quarter,Victim contact,No victim contact,Total,Percent of cases with at least one contact
2021 Q1,83,13,96,86.45833333
2021 Q2,94,8,102,92.15686275
2021 Q3,97,10,107,90.65420561
2021 Q4,73,8,81,90.12345679
2022 Q1,82,6,88,93.18181818
2022 Q2,73,4,77,94.80519481
2022 Q3,90,5,95,94.73684211
2022 Q4,76,5,81,93.82716049
2023 Q1,80,3,83,96.38554217
2023 Q2,62,10,72,86.11111111
2023 Q3,92,11,103,89.32038835
2023 Q4,73,2,75,97.33333333
2024 Q1,66,4,70,94.28571429
2024 Q2,83,10,93,89.24731183
2024 Q3,87,5,92,94.56521739
2024 Q4,82,6,88,93.18181818
2025 Q1,66,12,78,84.61538462
2025 Q2,60,14,74,81.08108108
