Disposition Quarter,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2020 Q1,56,57,113,49.55752212
2020 Q2,47,60,107,43.92523364
2020 Q3,46,29,75,61.33333333
2020 Q4,30,18,48,62.5
2021 Q1,34,12,46,73.91304348
2021 Q2,52,24,76,68.42105263
2021 Q3,69,16,85,81.17647059
2021 Q4,76,39,115,66.08695652
2022 Q1,72,31,103,69.90291262
2022 Q2,62,21,83,74.69879518
2022 Q3,61,27,88,69.31818182
2022 Q4,40,29,69,57.97101449
2023 Q1,24,24,48,50
2023 Q2,13,14,27,48.14814815
