Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of sentenced defendants detained pretrial
2021 Q1,51,26,77,33.76623377
2021 Q2,85,42,127,33.07086614
2021 Q3,70,57,127,44.88188976
2021 Q4,98,70,168,41.66666667
2022 Q1,100,75,175,42.85714286
2022 Q2,80,62,142,43.66197183
2022 Q3,75,58,133,43.60902256
2022 Q4,63,52,115,45.2173913
2023 Q1,54,39,93,41.93548387
2023 Q2,53,42,95,44.21052632
2023 Q3,67,41,108,37.96296296
2023 Q4,50,55,105,52.38095238
2024 Q1,31,11,42,26.19047619
