Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,61,130,191,31.93717277,221,960,1181,18.71295512
2017 Q2,38,157,195,19.48717949,191,989,1180,16.18644068
2017 Q3,35,138,173,20.23121387,198,869,1067,18.55670103
2017 Q4,40,143,183,21.8579235,148,812,960,15.41666667
2018 Q1,53,155,208,25.48076923,191,820,1011,18.89218595
2018 Q2,38,150,188,20.21276596,175,838,1013,17.27541955
2018 Q3,42,163,205,20.48780488,185,786,971,19.05252317
2018 Q4,43,162,205,20.97560976,174,732,906,19.20529801
2019 Q1,58,130,188,30.85106383,190,845,1035,18.35748792
2019 Q2,52,204,256,20.3125,190,934,1124,16.90391459
2019 Q3,45,165,210,21.42857143,178,893,1071,16.61998133
2019 Q4,32,149,181,17.67955801,201,854,1055,19.0521327
2020 Q1,40,175,215,18.60465116,191,832,1023,18.67057674
2020 Q2,16,94,110,14.54545455,51,349,400,12.75
2020 Q3,23,118,141,16.31205674,85,680,765,11.11111111
2020 Q4,24,124,148,16.21621622,133,681,814,16.33906634
2021 Q1,29,129,158,18.35443038,83,643,726,11.43250689
2021 Q2,37,159,196,18.87755102,119,727,846,14.06619385
2021 Q3,30,147,177,16.94915254,151,759,910,16.59340659
2021 Q4,24,130,154,15.58441558,141,735,876,16.09589041
2022 Q1,27,146,173,15.60693642,136,702,838,16.22911695
2022 Q2,21,135,156,13.46153846,175,773,948,18.45991561
2022 Q3,30,146,176,17.04545455,155,781,936,16.55982906
2022 Q4,27,141,168,16.07142857,154,717,871,17.68082664
2023 Q1,40,152,192,20.83333333,158,780,938,16.84434968
