Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,219,272,491,44.60285132
2017 Q2,213,329,542,39.29889299
2017 Q3,224,273,497,45.07042254
2017 Q4,193,298,491,39.30753564
2018 Q1,186,300,486,38.27160494
2018 Q2,182,279,461,39.47939262
2018 Q3,175,275,450,38.88888889
2018 Q4,196,338,534,36.70411985
2019 Q1,187,241,428,43.69158879
2019 Q2,289,321,610,47.37704918
2019 Q3,264,317,581,45.43889845
2019 Q4,242,313,555,43.6036036
2020 Q1,207,321,528,39.20454545
2020 Q2,106,166,272,38.97058824
2020 Q3,190,226,416,45.67307692
2020 Q4,133,199,332,40.06024096
2021 Q1,197,238,435,45.28735632
2021 Q2,148,276,424,34.90566038
2021 Q3,119,208,327,36.39143731
2021 Q4,151,228,379,39.84168865
2022 Q1,167,232,399,41.85463659
2022 Q2,146,295,441,33.10657596
2022 Q3,106,199,305,34.75409836
2022 Q4,126,210,336,37.5
2023 Q1,163,233,396,41.16161616
2023 Q2,144,222,366,39.3442623
2023 Q3,114,219,333,34.23423423
2023 Q4,134,206,340,39.41176471
2024 Q1,112,236,348,32.18390805
2024 Q2,147,231,378,38.88888889
2024 Q3,132,261,393,33.58778626
2024 Q4,93,131,224,41.51785714
2025 Q1,77,148,225,34.22222222
2025 Q2,118,200,318,37.10691824
