Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,19,131,150,12.66666667,111,872,983,11.29196338
2017 Q2,19,132,151,12.58278146,92,965,1057,8.703878903
2017 Q3,31,135,166,18.6746988,77,641,718,10.72423398
2017 Q4,29,132,161,18.01242236,92,638,730,12.60273973
2018 Q1,25,158,183,13.66120219,89,724,813,10.94710947
2018 Q2,22,129,151,14.56953642,105,706,811,12.94697904
2018 Q3,31,139,170,18.23529412,127,831,958,13.25678497
2018 Q4,30,133,163,18.40490798,86,810,896,9.598214286
2019 Q1,36,167,203,17.73399015,98,852,950,10.31578947
2019 Q2,27,153,180,15,115,1024,1139,10.09657594
2019 Q3,29,143,172,16.86046512,152,1376,1528,9.947643979
2019 Q4,27,131,158,17.08860759,115,859,974,11.80698152
2020 Q1,45,170,215,20.93023256,109,724,833,13.08523409
2020 Q2,29,124,153,18.95424837,41,380,421,9.73871734
2020 Q3,25,157,182,13.73626374,68,538,606,11.22112211
2020 Q4,28,174,202,13.86138614,72,558,630,11.42857143
2021 Q1,43,187,230,18.69565217,94,720,814,11.54791155
2021 Q2,38,170,208,18.26923077,103,847,950,10.84210526
2021 Q3,51,192,243,20.98765432,96,621,717,13.38912134
2021 Q4,60,246,306,19.60784314,72,412,484,14.87603306
2022 Q1,54,224,278,19.42446043,97,467,564,17.19858156
2022 Q2,60,245,305,19.67213115,96,477,573,16.7539267
