Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of defendants detained pretrial
2020 Q1,636,174,810,21.48148148
2020 Q2,233,88,321,27.41433022
2020 Q3,489,170,659,25.79666161
2020 Q4,392,167,559,29.87477639
2021 Q1,416,167,583,28.64493997
2021 Q2,483,201,684,29.38596491
2021 Q3,539,243,782,31.0741688
2021 Q4,373,205,578,35.46712803
2022 Q1,474,201,675,29.77777778
2022 Q2,482,276,758,36.4116095
2022 Q3,439,259,698,37.10601719
2022 Q4,455,291,746,39.0080429
2023 Q1,557,214,771,27.75616083
2023 Q2,521,236,757,31.17569353
2023 Q3,466,259,725,35.72413793
2023 Q4,498,257,755,34.0397351
2024 Q1,518,249,767,32.46414602
2024 Q2,488,180,668,26.94610778
