Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,44.3529,40.0588
2017 Q2,48.7222,34.9
2017 Q3,37.8182,33.05
2017 Q4,42,37.3
2018 Q1,38.24,38.619
2018 Q2,36.3462,44.7647
2018 Q3,37.0435,34.8421
2018 Q4,30.8,35.6957
2019 Q1,32.9091,34.8571
2019 Q2,38.3226,38.2609
2019 Q3,47.5,39.6
2019 Q4,57.2941,41.3636
2020 Q1,48.8095,37.8636
2020 Q2,46.28,29.1176
2020 Q3,50.4615,60.25
2020 Q4,52.4167,50.0909
2021 Q1,53.2917,49.4167
2021 Q2,57.3333,55.12
2021 Q3,66.3636,55.4615
2021 Q4,69.6842,61.0476
2022 Q1,73.1053,63.6818
2022 Q2,93.6667,77.1579