Disposition Quarter,Successful,Not Successful,Total Cases
2017 Q1,46,13,59
2017 Q2,44,16,60
2017 Q3,33,7,40
2017 Q4,25,21,46
2018 Q1,39,9,48
2018 Q2,25,21,46
2018 Q3,51,13,64
2018 Q4,27,14,41
2019 Q1,22,10,32
2019 Q2,33,16,49
2019 Q3,27,8,35
2019 Q4,34,14,48
2020 Q1,36,13,49
2020 Q2,21,3,24
