Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,21,47,68,30.88235294,56,246,302,18.54304636
2017 Q2,17,49,66,25.75757576,47,261,308,15.25974026
2017 Q3,14,47,61,22.95081967,55,284,339,16.22418879
2017 Q4,22,61,83,26.5060241,53,267,320,16.5625
2018 Q1,15,50,65,23.07692308,68,288,356,19.1011236
2018 Q2,13,63,76,17.10526316,65,257,322,20.1863354
2018 Q3,25,69,94,26.59574468,60,257,317,18.92744479
2018 Q4,21,65,86,24.41860465,70,253,323,21.67182663
2019 Q1,30,48,78,38.46153846,70,298,368,19.02173913
2019 Q2,17,70,87,19.54022989,54,284,338,15.97633136
2019 Q3,9,60,69,13.04347826,57,268,325,17.53846154
2019 Q4,10,28,38,26.31578947,53,258,311,17.04180064
2020 Q1,14,50,64,21.875,61,282,343,17.78425656
2020 Q2,13,17,30,43.33333333,16,121,137,11.67883212
2020 Q3,6,27,33,18.18181818,27,255,282,9.574468085
2020 Q4,9,34,43,20.93023256,52,243,295,17.62711864
2021 Q1,11,43,54,20.37037037,30,281,311,9.646302251
2021 Q2,11,48,59,18.6440678,45,286,331,13.59516616
2021 Q3,11,39,50,22,55,301,356,15.4494382
2021 Q4,8,46,54,14.81481481,61,321,382,15.96858639
2022 Q1,5,38,43,11.62790698,70,305,375,18.66666667
2022 Q2,6,32,38,15.78947368,72,293,365,19.7260274
2022 Q3,6,35,41,14.63414634,56,294,350,16
2022 Q4,5,28,33,15.15151515,48,271,319,15.04702194
2023 Q1,11,45,56,19.64285714,55,284,339,16.22418879
2023 Q2,11,37,48,22.91666667,57,254,311,18.32797428
2023 Q3,8,37,45,17.77777778,49,256,305,16.06557377
2023 Q4,17,35,52,32.69230769,52,219,271,19.18819188
