Disposition Quarter,Conviction,No Conviction,Total
2017 Q1,3,2,5
2017 Q2,8,4,12
2017 Q3,6,6,12
2017 Q4,8,4,12
2018 Q1,4,2,6
2018 Q2,4,4,8
2018 Q3,6,3,9
2018 Q4,9,4,13
2019 Q1,4,4,8
2019 Q2,9,5,14
2019 Q3,5,1,6
2019 Q4,4,3,7
2020 Q1,6,5,11
2020 Q2,3,2,5
2020 Q3,7,2,9
2020 Q4,6,1,7
2021 Q1,2,3,5
2021 Q2,3,5,8
2021 Q3,9,0,9
2021 Q4,7,4,11
2022 Q1,8,1,9
2022 Q2,3,1,4
2022 Q3,4,1,5
2022 Q4,6,4,10
2023 Q1,11,0,11
2023 Q2,9,5,14
2023 Q3,9,3,12
2023 Q4,6,2,8
2024 Q1,7,1,8
2024 Q2,2,5,7
2024 Q3,2,0,2
2024 Q4,3,0,3
