Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,3,20,23,13.04347826,18.1884058,30,212,242,12.39669421
2017 Q2,7,23,30,23.33333333,18.79227053,28,221,249,11.24497992
2017 Q3,5,20,25,20,25.55555556,34,251,285,11.92982456
2017 Q4,3,6,9,33.33333333,19.05982906,49,235,284,17.25352113
2018 Q1,1,25,26,3.846153846,16.55982906,32,209,241,13.2780083
2018 Q2,2,14,16,12.5,9.416971917,26,206,232,11.20689655
2018 Q3,5,37,42,11.9047619,14.01727358,30,208,238,12.60504202
2018 Q4,3,14,17,17.64705882,18.54625908,47,259,306,15.35947712
2019 Q1,6,17,23,26.08695652,19.78633845,34,191,225,15.11111111
2019 Q2,5,27,32,15.625,20.92152937,32,251,283,11.30742049
2019 Q3,4,15,19,21.05263158,19.472254,35,184,219,15.98173516
2019 Q4,5,18,23,21.73913043,18.70836512,22,188,210,10.47619048
2020 Q1,2,13,15,13.33333333,16.03864734,19,168,187,10.16042781
2020 Q2,3,20,23,13.04347826,15.04227053,22,140,162,13.58024691
2020 Q3,3,13,16,18.75,20.40174766,21,169,190,11.05263158
2020 Q4,5,12,17,29.41176471,19.75762527,23,170,193,11.91709845
2021 Q1,2,16,18,11.11111111,18.71595861,36,140,176,20.45454545
2021 Q2,5,27,32,15.625,8.912037037,27,199,226,11.94690265
2021 Q3,0,18,18,0,7.677469136,35,203,238,14.70588235
2021 Q4,2,25,27,7.407407407,4.691358025,32,216,248,12.90322581
2022 Q1,2,28,30,6.666666667,11.04056437,33,221,254,12.99212598
2022 Q2,4,17,21,19.04761905,14.45378151,33,235,268,12.31343284
2022 Q3,3,14,17,17.64705882,14.89822596,25,199,224,11.16071429
2022 Q4,2,23,25,8,10.63235294,29,213,242,11.98347107
2023 Q1,1,15,16,6.25,6.337301587,41,234,275,14.90909091
2023 Q2,1,20,21,4.761904762,5.505952381,29,204,233,12.44635193
