Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Actual Percent of felony defendants with new case filed within 1 year,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,1,29,30,3.333333333,9.666666667,48,168,216,22.22222222
2017 Q2,4,21,25,16,14.2875817,43,168,211,20.37914692
2017 Q3,8,26,34,23.52941176,19.05882353,57,176,233,24.46351931
2017 Q4,3,14,17,17.64705882,25.26395173,45,125,170,26.47058824
2018 Q1,9,17,26,34.61538462,24.99657206,38,149,187,20.32085561
2018 Q2,5,17,22,22.72727273,25.78088578,39,137,176,22.15909091
2018 Q3,5,20,25,20,17.27272727,42,151,193,21.76165803
2018 Q4,3,30,33,9.090909091,18.03030303,36,130,166,21.68674699
2019 Q1,7,21,28,25,21.5085639,43,140,183,23.49726776
2019 Q2,7,16,23,30.43478261,24.53886693,45,142,187,24.06417112
2019 Q3,6,27,33,18.18181818,21.76108915,46,155,201,22.88557214
2019 Q4,5,25,30,16.66666667,19.61616162,43,174,217,19.8156682
2020 Q1,6,19,25,24,27.84126984,42,166,208,20.19230769
2020 Q2,9,12,21,42.85714286,27.04761905,16,96,112,14.28571429
2020 Q3,3,18,21,14.28571429,24.42396313,48,113,161,29.8136646
2020 Q4,5,26,31,16.12903226,15.20737327,40,133,173,23.12138728
2021 Q1,1,20,21,4.761904762,14.90015361,39,180,219,17.80821918
2021 Q2,5,16,21,23.80952381,10.85714286,39,179,218,17.88990826
2021 Q3,1,24,25,4,17.6031746,47,168,215,21.86046512
2021 Q4,4,12,16,25,21.94736842,45,158,203,22.16748768
2022 Q1,7,12,19,36.84210526,23.08317089,46,157,203,22.66009852
2022 Q2,2,25,27,7.407407407,22.12475634,41,147,188,21.80851064
