Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,149,331,480,31.04166667
2017 Q2,159,389,548,29.01459854
2017 Q3,157,376,533,29.45590994
2017 Q4,147,416,563,26.11012433
2018 Q1,136,376,512,26.5625
2018 Q2,141,481,622,22.66881029
2018 Q3,135,431,566,23.85159011
2018 Q4,142,402,544,26.10294118
2019 Q1,141,447,588,23.97959184
2019 Q2,137,424,561,24.42067736
2019 Q3,166,385,551,30.12704174
2019 Q4,161,403,564,28.54609929
2020 Q1,159,370,529,30.05671078
2020 Q2,96,244,340,28.23529412
2020 Q3,139,323,462,30.08658009
2020 Q4,154,316,470,32.76595745
2021 Q1,157,251,408,38.48039216
2021 Q2,142,321,463,30.66954644
2021 Q3,146,328,474,30.80168776
2021 Q4,135,253,388,34.79381443
2022 Q1,146,274,420,34.76190476
2022 Q2,129,258,387,33.33333333
2022 Q3,125,222,347,36.02305476
2022 Q4,139,241,380,36.57894737
2023 Q1,127,254,381,33.33333333
2023 Q2,137,275,412,33.25242718
2023 Q3,129,250,379,34.03693931
2023 Q4,122,194,316,38.60759494
