Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2018 Q1,245,53,2,300,17.66666667,40,60,100,40
2018 Q2,176,29,2,207,14.00966184,46,59,105,43.80952381
2018 Q3,167,14,2,183,7.650273224,44,53,97,45.36082474
2018 Q4,195,9,2,206,4.368932039,47,49,96,48.95833333
2019 Q1,197,12,2,211,5.687203791,42,47,89,47.19101124
2019 Q2,202,14,0,216,6.481481481,58,64,122,47.54098361
2019 Q3,237,13,5,255,5.098039216,72,55,127,56.69291339
2019 Q4,192,22,4,218,10.09174312,61,66,127,48.03149606
2020 Q1,173,15,0,188,7.978723404,76,81,157,48.40764331
2020 Q2,150,16,0,166,9.638554217,55,57,112,49.10714286
2020 Q3,168,18,0,186,9.677419355,27,49,76,35.52631579
2020 Q4,145,12,2,159,7.547169811,45,48,93,48.38709677
2021 Q1,173,16,2,191,8.376963351,42,42,84,50
2021 Q2,172,16,0,188,8.510638298,33,48,81,40.74074074
2021 Q3,123,33,2,158,20.88607595,54,52,106,50.94339623
2021 Q4,118,21,0,139,15.10791367,56,62,118,47.45762712
2022 Q1,99,24,0,123,19.51219512,42,64,106,39.62264151
2022 Q2,105,20,0,125,16,29,66,95,30.52631579
2022 Q3,104,35,0,139,25.17985612,39,46,85,45.88235294
2022 Q4,126,16,2,144,11.11111111,29,37,66,43.93939394
2023 Q1,112,16,1,129,12.40310078,26,38,64,40.625
2023 Q2,123,21,0,144,14.58333333,25,56,81,30.86419753
2023 Q3,125,19,1,145,13.10344828,26,54,80,32.5
2023 Q4,92,15,1,108,13.88888889,24,39,63,38.0952381
2024 Q1,117,21,2,140,15,20,51,71,28.16901408
2024 Q2,129,15,1,145,10.34482759,22,45,67,32.8358209
2024 Q3,114,27,1,142,19.01408451,29,44,73,39.7260274
