Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Actual Percent of felony defendants with new case filed within 1 year,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q1,5,15,20,25,29.16666667,27,116,143,18.88111888
2018 Q2,5,10,15,33.33333333,28.14009662,39,132,171,22.80701754
2018 Q3,6,17,23,26.08695652,27.8527403,45,158,203,22.16748768
2018 Q4,7,22,29,24.13793103,18.96385141,33,150,183,18.03278689
2019 Q1,1,14,15,6.666666667,17.67560664,27,123,150,18
2019 Q2,6,21,27,22.22222222,14.17508418,27,126,153,17.64705882
2019 Q3,3,19,22,13.63636364,16.11952862,31,149,180,17.22222222
2019 Q4,4,28,32,12.5,14.11752662,38,161,199,19.09547739
2020 Q1,6,31,37,16.21621622,13.73873874,36,174,210,17.14285714
2020 Q2,4,28,32,12.5,12.4706228,21,105,126,16.66666667
2020 Q3,2,21,23,8.695652174,7.065217391,35,128,163,21.47239264
2020 Q4,0,15,15,0,10.89855072,17,116,133,12.78195489
2021 Q1,6,19,25,24,12.76190476,22,135,157,14.01273885
2021 Q2,2,12,14,14.28571429,15.53968254,18,134,152,11.84210526
2021 Q3,1,11,12,8.333333333,15.11544012,15,144,159,9.433962264
2021 Q4,5,17,22,22.72727273,15.11544012,33,168,201,16.41791045
2022 Q1,2,12,14,14.28571429,15.23621306,31,152,183,16.93989071
2022 Q2,2,21,23,8.695652174,13.91045549,18,173,191,9.42408377
2022 Q3,3,13,16,18.75,13.91045549,20,155,175,11.42857143
2022 Q4,3,18,21,14.28571429,12.97268908,17,112,129,13.17829457
2023 Q1,1,16,17,5.882352941,8.477075041,26,122,148,17.56756757
2023 Q2,1,18,19,5.263157895,6.613721003,20,128,148,13.51351351
2023 Q3,2,21,23,8.695652174,15.7640478,13,92,105,12.38095238
2023 Q4,6,12,18,33.33333333,19.00966184,22,106,128,17.1875
2024 Q1,3,17,20,15,24.16666667,15,95,110,13.63636364
